County,Sex,Census Year,Statistic,value
Westmeath,Male,1901,Population at Each Census from 1841 to 2016 (Number),31880
Westmeath,Male,1911,Population at Each Census from 1841 to 2016 (Number),31910
Westmeath,Male,1926,Population at Each Census from 1841 to 2016 (Number),30151
Westmeath,Male,1936,Population at Each Census from 1841 to 2016 (Number),29039
Westmeath,Male,1946,Population at Each Census from 1841 to 2016 (Number),29058
Westmeath,Male,1951,Population at Each Census from 1841 to 2016 (Number),28737
Westmeath,Male,1956,Population at Each Census from 1841 to 2016 (Number),28102
Westmeath,Male,1961,Population at Each Census from 1841 to 2016 (Number),27183
Westmeath,Male,1966,Population at Each Census from 1841 to 2016 (Number),27101
Westmeath,Male,1971,Population at Each Census from 1841 to 2016 (Number),27544
Westmeath,Male,1979,Population at Each Census from 1841 to 2016 (Number),30557
Westmeath,Male,1981,Population at Each Census from 1841 to 2016 (Number),31388
Westmeath,Male,1986,Population at Each Census from 1841 to 2016 (Number),32048
Westmeath,Male,1991,Population at Each Census from 1841 to 2016 (Number),31006
Westmeath,Male,1996,Population at Each Census from 1841 to 2016 (Number),31599
Westmeath,Male,2002,Population at Each Census from 1841 to 2016 (Number),35960
Westmeath,Male,2006,Population at Each Census from 1841 to 2016 (Number),39819
Westmeath,Male,2011,Population at Each Census from 1841 to 2016 (Number),42783
Westmeath,Male,2016,Population at Each Census from 1841 to 2016 (Number),44082
Westmeath,Female,1841,Population at Each Census from 1841 to 2016 (Number),70917
Westmeath,Female,1851,Population at Each Census from 1841 to 2016 (Number),55312
Westmeath,Female,1861,Population at Each Census from 1841 to 2016 (Number),44661
Westmeath,Female,1871,Population at Each Census from 1841 to 2016 (Number),38628
Westmeath,Female,1881,Population at Each Census from 1841 to 2016 (Number),35320
Westmeath,Female,1891,Population at Each Census from 1841 to 2016 (Number),31182
Westmeath,Female,1901,Population at Each Census from 1841 to 2016 (Number),29749
Westmeath,Female,1911,Population at Each Census from 1841 to 2016 (Number),28076
Westmeath,Female,1926,Population at Each Census from 1841 to 2016 (Number),26667
Westmeath,Female,1936,Population at Each Census from 1841 to 2016 (Number),25667
Westmeath,Female,1946,Population at Each Census from 1841 to 2016 (Number),25891
Westmeath,Female,1951,Population at Each Census from 1841 to 2016 (Number),25726
Westmeath,Female,1956,Population at Each Census from 1841 to 2016 (Number),26020
Westmeath,Female,1961,Population at Each Census from 1841 to 2016 (Number),25678
Westmeath,Female,1966,Population at Each Census from 1841 to 2016 (Number),25799
Westmeath,Female,1971,Population at Each Census from 1841 to 2016 (Number),26026
Westmeath,Female,1979,Population at Each Census from 1841 to 2016 (Number),29328
Westmeath,Female,1981,Population at Each Census from 1841 to 2016 (Number),30135
Westmeath,Female,1986,Population at Each Census from 1841 to 2016 (Number),31331
Westmeath,Female,1991,Population at Each Census from 1841 to 2016 (Number),30874
Westmeath,Female,1996,Population at Each Census from 1841 to 2016 (Number),31715
Westmeath,Female,2002,Population at Each Census from 1841 to 2016 (Number),35898
Westmeath,Female,2006,Population at Each Census from 1841 to 2016 (Number),39527
Westmeath,Female,2011,Population at Each Census from 1841 to 2016 (Number),43381
Westmeath,Female,2016,Population at Each Census from 1841 to 2016 (Number),44688
Wexford,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),202033
Wexford,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),180158
Wexford,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),143954
Wexford,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),132666
Wexford,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),123854
Wexford,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),111778
Wexford,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),104104
Wexford,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),102273
Wexford,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),95848
Wexford,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),94245
Wexford,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),91855
Wexford,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),90032
Wexford,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),87259
Wexford,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),83308
Wexford,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),83437
Wexford,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),86351
Wexford,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),96421
Wexford,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),99081
Wexford,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),102552
Wexford,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),102069
Wexford,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),104371
Wexford,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),116596
Wexford,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),131749
Wexford,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),145320
Wexford,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),149722
Wexford,Male,1841,Population at Each Census from 1841 to 2016 (Number),97918
Wexford,Male,1851,Population at Each Census from 1841 to 2016 (Number),86938
Wexford,Male,1861,Population at Each Census from 1841 to 2016 (Number),69104
Wexford,Male,1871,Population at Each Census from 1841 to 2016 (Number),64199
Wexford,Male,1881,Population at Each Census from 1841 to 2016 (Number),60928
Wexford,Male,1891,Population at Each Census from 1841 to 2016 (Number),54935
Wexford,Male,1901,Population at Each Census from 1841 to 2016 (Number),51756
Wexford,Male,1911,Population at Each Census from 1841 to 2016 (Number),51568
Wexford,Male,1926,Population at Each Census from 1841 to 2016 (Number),48570
Wexford,Male,1936,Population at Each Census from 1841 to 2016 (Number),48577
Wexford,Male,1946,Population at Each Census from 1841 to 2016 (Number),46611
Wexford,Male,1951,Population at Each Census from 1841 to 2016 (Number),45945
Wexford,Male,1956,Population at Each Census from 1841 to 2016 (Number),44210
Wexford,Male,1961,Population at Each Census from 1841 to 2016 (Number),42128
Wexford,Male,1966,Population at Each Census from 1841 to 2016 (Number),42270
Wexford,Male,1971,Population at Each Census from 1841 to 2016 (Number),43768
Wexford,Male,1979,Population at Each Census from 1841 to 2016 (Number),48974
Wexford,Male,1981,Population at Each Census from 1841 to 2016 (Number),50336
Wexford,Male,1986,Population at Each Census from 1841 to 2016 (Number),51782
Wexford,Male,1991,Population at Each Census from 1841 to 2016 (Number),51444
Wexford,Male,1996,Population at Each Census from 1841 to 2016 (Number),52432
Wexford,Male,2002,Population at Each Census from 1841 to 2016 (Number),58170
Wexford,Male,2006,Population at Each Census from 1841 to 2016 (Number),66070
Wexford,Male,2011,Population at Each Census from 1841 to 2016 (Number),71909
Wexford,Male,2016,Population at Each Census from 1841 to 2016 (Number),73722
Wexford,Female,1841,Population at Each Census from 1841 to 2016 (Number),104115
Wexford,Female,1851,Population at Each Census from 1841 to 2016 (Number),93220
Wexford,Female,1861,Population at Each Census from 1841 to 2016 (Number),74850
Wexford,Female,1871,Population at Each Census from 1841 to 2016 (Number),68467
Wexford,Female,1881,Population at Each Census from 1841 to 2016 (Number),62926
Wexford,Female,1891,Population at Each Census from 1841 to 2016 (Number),56843
Wexford,Female,1901,Population at Each Census from 1841 to 2016 (Number),52348
Wexford,Female,1911,Population at Each Census from 1841 to 2016 (Number),50705
Wexford,Female,1926,Population at Each Census from 1841 to 2016 (Number),47278
Wexford,Female,1936,Population at Each Census from 1841 to 2016 (Number),45668
Wexford,Female,1946,Population at Each Census from 1841 to 2016 (Number),45244
Wexford,Female,1951,Population at Each Census from 1841 to 2016 (Number),44087
Wexford,Female,1956,Population at Each Census from 1841 to 2016 (Number),43049
Wexford,Female,1961,Population at Each Census from 1841 to 2016 (Number),41180
Wexford,Female,1966,Population at Each Census from 1841 to 2016 (Number),41167
Wexford,Female,1971,Population at Each Census from 1841 to 2016 (Number),42583
Wexford,Female,1979,Population at Each Census from 1841 to 2016 (Number),47447
Wexford,Female,1981,Population at Each Census from 1841 to 2016 (Number),48745
Wexford,Female,1986,Population at Each Census from 1841 to 2016 (Number),50770
Wexford,Female,1991,Population at Each Census from 1841 to 2016 (Number),50625
Wexford,Female,1996,Population at Each Census from 1841 to 2016 (Number),51939
Wexford,Female,2002,Population at Each Census from 1841 to 2016 (Number),58426
Wexford,Female,2006,Population at Each Census from 1841 to 2016 (Number),65679
Wexford,Female,2011,Population at Each Census from 1841 to 2016 (Number),73411
Wexford,Female,2016,Population at Each Census from 1841 to 2016 (Number),76000
Wicklow,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),126143
Wicklow,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),98979
Wicklow,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),86479
Wicklow,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),78697
Wicklow,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),70386
Wicklow,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),62136
Wicklow,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),60824
Wicklow,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),60711
Wicklow,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),57591
Wicklow,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),58569
Wicklow,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),60451
Wicklow,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),62590
Wicklow,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),59906
Wicklow,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),58473
Wicklow,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),60428
Wicklow,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),66295
Wicklow,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),83950
Wicklow,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),87449
Wicklow,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),94542
Wicklow,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),97265
Wicklow,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),102683
Wicklow,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),114676
Wicklow,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),126194
Wicklow,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),136640
Wicklow,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),142425
Wicklow,Male,1841,Population at Each Census from 1841 to 2016 (Number),63489
Wicklow,Male,1851,Population at Each Census from 1841 to 2016 (Number),50230
Wicklow,Male,1861,Population at Each Census from 1841 to 2016 (Number),44122
Wicklow,Male,1871,Population at Each Census from 1841 to 2016 (Number),39496
Wicklow,Male,1881,Population at Each Census from 1841 to 2016 (Number),35101
Wicklow,Male,1891,Population at Each Census from 1841 to 2016 (Number),31054
Wicklow,Male,1901,Population at Each Census from 1841 to 2016 (Number),30584
Wicklow,Male,1911,Population at Each Census from 1841 to 2016 (Number),31113
Wicklow,Male,1926,Population at Each Census from 1841 to 2016 (Number),28911
Wicklow,Male,1936,Population at Each Census from 1841 to 2016 (Number),29868
Wicklow,Male,1946,Population at Each Census from 1841 to 2016 (Number),30152
Wicklow,Male,1951,Population at Each Census from 1841 to 2016 (Number),31587
Wicklow,Male,1956,Population at Each Census from 1841 to 2016 (Number),29933
Wicklow,Male,1961,Population at Each Census from 1841 to 2016 (Number),29150
Wicklow,Male,1966,Population at Each Census from 1841 to 2016 (Number),30231
Wicklow,Male,1971,Population at Each Census from 1841 to 2016 (Number),33318
Wicklow,Male,1979,Population at Each Census from 1841 to 2016 (Number),41969
Wicklow,Male,1981,Population at Each Census from 1841 to 2016 (Number),43663
Wicklow,Male,1986,Population at Each Census from 1841 to 2016 (Number),46980
Wicklow,Male,1991,Population at Each Census from 1841 to 2016 (Number),48076
Wicklow,Male,1996,Population at Each Census from 1841 to 2016 (Number),50823
Wicklow,Male,2002,Population at Each Census from 1841 to 2016 (Number),56800
Wicklow,Male,2006,Population at Each Census from 1841 to 2016 (Number),62905
Wicklow,Male,2011,Population at Each Census from 1841 to 2016 (Number),67542
Wicklow,Male,2016,Population at Each Census from 1841 to 2016 (Number),70156
Wicklow,Female,1841,Population at Each Census from 1841 to 2016 (Number),62654
Wicklow,Female,1851,Population at Each Census from 1841 to 2016 (Number),48749
Wicklow,Female,1861,Population at Each Census from 1841 to 2016 (Number),42357
Wicklow,Female,1871,Population at Each Census from 1841 to 2016 (Number),39201
Wicklow,Female,1881,Population at Each Census from 1841 to 2016 (Number),35285
Wicklow,Female,1891,Population at Each Census from 1841 to 2016 (Number),31082
Wicklow,Female,1901,Population at Each Census from 1841 to 2016 (Number),30240
Wicklow,Female,1911,Population at Each Census from 1841 to 2016 (Number),29598
Wicklow,Female,1926,Population at Each Census from 1841 to 2016 (Number),28680
Wicklow,Female,1936,Population at Each Census from 1841 to 2016 (Number),28701
Wicklow,Female,1946,Population at Each Census from 1841 to 2016 (Number),30299
Wicklow,Female,1951,Population at Each Census from 1841 to 2016 (Number),31003
Wicklow,Female,1956,Population at Each Census from 1841 to 2016 (Number),29973
Wicklow,Female,1961,Population at Each Census from 1841 to 2016 (Number),29323
Wicklow,Female,1966,Population at Each Census from 1841 to 2016 (Number),30197
Wicklow,Female,1971,Population at Each Census from 1841 to 2016 (Number),32977
Wicklow,Female,1979,Population at Each Census from 1841 to 2016 (Number),41981
Wicklow,Female,1981,Population at Each Census from 1841 to 2016 (Number),43786
Wicklow,Female,1986,Population at Each Census from 1841 to 2016 (Number),47562
Wicklow,Female,1991,Population at Each Census from 1841 to 2016 (Number),49189
Wicklow,Female,1996,Population at Each Census from 1841 to 2016 (Number),51860
Wicklow,Female,2002,Population at Each Census from 1841 to 2016 (Number),57876
Wicklow,Female,2006,Population at Each Census from 1841 to 2016 (Number),63289
Wicklow,Female,2011,Population at Each Census from 1841 to 2016 (Number),69098
Wicklow,Female,2016,Population at Each Census from 1841 to 2016 (Number),72269
Clare,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),286394
Clare,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),212440
Clare,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),166305
Clare,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),147864
Clare,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),141457
Clare,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),124483
Clare,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),112334
Clare,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),104232
Clare,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),95064
Clare,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),89879
Clare,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),85064
Clare,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),81329
Clare,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),77176
Clare,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),73702
Clare,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),73597
Clare,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),75008
Clare,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),84919
Clare,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),87567
Clare,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),91344
Clare,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),90918
Clare,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),94006
Clare,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),103277
Clare,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),110950
Clare,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),117196
Clare,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),118817
Clare,Male,1841,Population at Each Census from 1841 to 2016 (Number),144109
Clare,Male,1851,Population at Each Census from 1841 to 2016 (Number),103953
Clare,Male,1861,Population at Each Census from 1841 to 2016 (Number),82541
Clare,Male,1871,Population at Each Census from 1841 to 2016 (Number),73442
Clare,Male,1881,Population at Each Census from 1841 to 2016 (Number),71058
Clare,Male,1891,Population at Each Census from 1841 to 2016 (Number),63138
Clare,Male,1901,Population at Each Census from 1841 to 2016 (Number),57386
Clare,Male,1911,Population at Each Census from 1841 to 2016 (Number),53877
Clare,Male,1926,Population at Each Census from 1841 to 2016 (Number),50071
Clare,Male,1936,Population at Each Census from 1841 to 2016 (Number),47957
Clare,Male,1946,Population at Each Census from 1841 to 2016 (Number),45350
Clare,Male,1951,Population at Each Census from 1841 to 2016 (Number),43473
Clare,Male,1956,Population at Each Census from 1841 to 2016 (Number),40868
Clare,Male,1961,Population at Each Census from 1841 to 2016 (Number),38904
Clare,Male,1966,Population at Each Census from 1841 to 2016 (Number),38667
Clare,Male,1971,Population at Each Census from 1841 to 2016 (Number),39002
Clare,Male,1979,Population at Each Census from 1841 to 2016 (Number),43945
Clare,Male,1981,Population at Each Census from 1841 to 2016 (Number),45366
Clare,Male,1986,Population at Each Census from 1841 to 2016 (Number),46913
Clare,Male,1991,Population at Each Census from 1841 to 2016 (Number),46367
Clare,Male,1996,Population at Each Census from 1841 to 2016 (Number),47789
Clare,Male,2002,Population at Each Census from 1841 to 2016 (Number),52063
Clare,Male,2006,Population at Each Census from 1841 to 2016 (Number),56048
Clare,Male,2011,Population at Each Census from 1841 to 2016 (Number),58298
Clare,Male,2016,Population at Each Census from 1841 to 2016 (Number),58785
Clare,Female,1841,Population at Each Census from 1841 to 2016 (Number),142285
Clare,Female,1851,Population at Each Census from 1841 to 2016 (Number),108487
Clare,Female,1861,Population at Each Census from 1841 to 2016 (Number),83764
Clare,Female,1871,Population at Each Census from 1841 to 2016 (Number),74422
Clare,Female,1881,Population at Each Census from 1841 to 2016 (Number),70399
Clare,Female,1891,Population at Each Census from 1841 to 2016 (Number),61345
Clare,Female,1901,Population at Each Census from 1841 to 2016 (Number),54948
Clare,Female,1911,Population at Each Census from 1841 to 2016 (Number),50355
Clare,Female,1926,Population at Each Census from 1841 to 2016 (Number),44993
Clare,Female,1936,Population at Each Census from 1841 to 2016 (Number),41922
Clare,Female,1946,Population at Each Census from 1841 to 2016 (Number),39714
Clare,Female,1951,Population at Each Census from 1841 to 2016 (Number),37856
Clare,Female,1956,Population at Each Census from 1841 to 2016 (Number),36308
Clare,Female,1961,Population at Each Census from 1841 to 2016 (Number),34798
Clare,Female,1966,Population at Each Census from 1841 to 2016 (Number),34930
Clare,Female,1971,Population at Each Census from 1841 to 2016 (Number),36006
Clare,Female,1979,Population at Each Census from 1841 to 2016 (Number),40974
Clare,Female,1981,Population at Each Census from 1841 to 2016 (Number),42201
Clare,Female,1986,Population at Each Census from 1841 to 2016 (Number),44431
Clare,Female,1991,Population at Each Census from 1841 to 2016 (Number),44551
Clare,Female,1996,Population at Each Census from 1841 to 2016 (Number),46217
Clare,Female,2002,Population at Each Census from 1841 to 2016 (Number),51214
Clare,Female,2006,Population at Each Census from 1841 to 2016 (Number),54902
Clare,Female,2011,Population at Each Census from 1841 to 2016 (Number),58898
Clare,Female,2016,Population at Each Census from 1841 to 2016 (Number),60032
Cork,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),854118
Cork,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),649308
Cork,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),544818
Cork,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),517076
Cork,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),495607
Cork,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),438432
Cork,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),404611
Cork,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),392104
Cork,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),365747
Cork,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),355957
Cork,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),343668
Cork,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),341284
Cork,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),336663
Cork,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),330443
Cork,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),339703
Cork,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),352883
Cork,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),396118
Cork,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),402465
Cork,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),412735
Cork,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),410369
Cork,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),420510
Cork,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),447829
Cork,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),481295
Cork,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),519032
Cork,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),542868
Cork,Male,1841,Population at Each Census from 1841 to 2016 (Number),420551
Cork,Male,1851,Population at Each Census from 1841 to 2016 (Number),318149
Cork,Male,1861,Population at Each Census from 1841 to 2016 (Number),269637
Cork,Male,1871,Population at Each Census from 1841 to 2016 (Number),256062
Cork,Male,1881,Population at Each Census from 1841 to 2016 (Number),246044
Cork,Male,1891,Population at Each Census from 1841 to 2016 (Number),219988
Cork,Male,1901,Population at Each Census from 1841 to 2016 (Number),202297
Cork,Male,1911,Population at Each Census from 1841 to 2016 (Number),197516
Cork,Male,1926,Population at Each Census from 1841 to 2016 (Number),183192
Cork,Male,1936,Population at Each Census from 1841 to 2016 (Number),179620
Cork,Male,1946,Population at Each Census from 1841 to 2016 (Number),171110
Cork,Male,1951,Population at Each Census from 1841 to 2016 (Number),170865
Cork,Male,1956,Population at Each Census from 1841 to 2016 (Number),167952
Cork,Male,1961,Population at Each Census from 1841 to 2016 (Number),164708
Cork,Male,1966,Population at Each Census from 1841 to 2016 (Number),170010
Cork,Male,1971,Population at Each Census from 1841 to 2016 (Number),176786
Cork,Male,1979,Population at Each Census from 1841 to 2016 (Number),199146
Cork,Male,1981,Population at Each Census from 1841 to 2016 (Number),202388
Cork,Male,1986,Population at Each Census from 1841 to 2016 (Number),206470
Cork,Male,1991,Population at Each Census from 1841 to 2016 (Number),204542
Cork,Male,1996,Population at Each Census from 1841 to 2016 (Number),209177
Cork,Male,2002,Population at Each Census from 1841 to 2016 (Number),222317
Cork,Male,2006,Population at Each Census from 1841 to 2016 (Number),240814
Cork,Male,2011,Population at Each Census from 1841 to 2016 (Number),257470
Cork,Male,2016,Population at Each Census from 1841 to 2016 (Number),268675
Cork,Female,1841,Population at Each Census from 1841 to 2016 (Number),433567
Cork,Female,1851,Population at Each Census from 1841 to 2016 (Number),331159
Cork,Female,1861,Population at Each Census from 1841 to 2016 (Number),275181
Cork,Female,1871,Population at Each Census from 1841 to 2016 (Number),261014
Cork,Female,1881,Population at Each Census from 1841 to 2016 (Number),249563
Cork,Female,1891,Population at Each Census from 1841 to 2016 (Number),218444
Cork,Female,1901,Population at Each Census from 1841 to 2016 (Number),202314
Cork,Female,1911,Population at Each Census from 1841 to 2016 (Number),194588
Cork,Female,1926,Population at Each Census from 1841 to 2016 (Number),182555
Cork,Female,1936,Population at Each Census from 1841 to 2016 (Number),176337
Cork,Female,1946,Population at Each Census from 1841 to 2016 (Number),172558
Cork,Female,1951,Population at Each Census from 1841 to 2016 (Number),170419
Cork,Female,1956,Population at Each Census from 1841 to 2016 (Number),168711
Cork,Female,1961,Population at Each Census from 1841 to 2016 (Number),165735
Cork,Female,1966,Population at Each Census from 1841 to 2016 (Number),169693
Cork,Female,1971,Population at Each Census from 1841 to 2016 (Number),176097
Cork,Female,1979,Population at Each Census from 1841 to 2016 (Number),196972
Cork,Female,1981,Population at Each Census from 1841 to 2016 (Number),200077
Cork,Female,1986,Population at Each Census from 1841 to 2016 (Number),206265
Cork,Female,1991,Population at Each Census from 1841 to 2016 (Number),205827
Cork,Female,1996,Population at Each Census from 1841 to 2016 (Number),211333
Cork,Female,2002,Population at Each Census from 1841 to 2016 (Number),225512
Cork,Female,2006,Population at Each Census from 1841 to 2016 (Number),240481
Cork,Female,2011,Population at Each Census from 1841 to 2016 (Number),261562
Cork,Female,2016,Population at Each Census from 1841 to 2016 (Number),274193
Kerry,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),293880
Kerry,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),238254
Kerry,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),201800
Kerry,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),196586
Kerry,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),201039
Kerry,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),179136
Kerry,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),165726
Kerry,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),159691
Kerry,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),149171
Kerry,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),139834
Kerry,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),133893
Kerry,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),126644
Kerry,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),122072
Kerry,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),116458
Kerry,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),112785
Kerry,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),112772
Kerry,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),120356
Kerry,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),122770
Kerry,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),124159
Kerry,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),121894
Kerry,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),126130
Kerry,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),132527
Kerry,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),139835
Kerry,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),145502
Kerry,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),147707
Kerry,Male,1841,Population at Each Census from 1841 to 2016 (Number),147307
Kerry,Male,1851,Population at Each Census from 1841 to 2016 (Number),116511
Kerry,Male,1861,Population at Each Census from 1841 to 2016 (Number),99999
Kerry,Male,1871,Population at Each Census from 1841 to 2016 (Number),97913
Kerry,Male,1881,Population at Each Census from 1841 to 2016 (Number),101208
Kerry,Male,1891,Population at Each Census from 1841 to 2016 (Number),91017
Kerry,Male,1901,Population at Each Census from 1841 to 2016 (Number),84427
Kerry,Male,1911,Population at Each Census from 1841 to 2016 (Number),81474
Kerry,Male,1926,Population at Each Census from 1841 to 2016 (Number),76863
Kerry,Male,1936,Population at Each Census from 1841 to 2016 (Number),73503
Kerry,Male,1946,Population at Each Census from 1841 to 2016 (Number),70113
Kerry,Male,1951,Population at Each Census from 1841 to 2016 (Number),66507
Kerry,Male,1956,Population at Each Census from 1841 to 2016 (Number),63965
Kerry,Male,1961,Population at Each Census from 1841 to 2016 (Number),60838
Kerry,Male,1966,Population at Each Census from 1841 to 2016 (Number),58674
Kerry,Male,1971,Population at Each Census from 1841 to 2016 (Number),58404
Kerry,Male,1979,Population at Each Census from 1841 to 2016 (Number),62185
Kerry,Male,1981,Population at Each Census from 1841 to 2016 (Number),63492
Kerry,Male,1986,Population at Each Census from 1841 to 2016 (Number),63293
Kerry,Male,1991,Population at Each Census from 1841 to 2016 (Number),61932
